,Student_ID,Name,Department,Age,Gender,Math,Physics,Chemistry,English,Attendance,Average,total,Grade 
61,1062.0,Karim,CS,20.0,F,95.0,53.0,98.0,68.0,71.0,78.5,314.0,C
97,1098.0,Ali,IS,19.0,F,87.0,94.0,57.0,75.0,63.0,78.25,313.0,C
85,1086.0,Sara,AI,20.0,M,99.0,90.0,67.0,57.0,66.0,78.25,313.0,C
188,1189.0,Laila,DS,19.0,F,69.0,83.0,65.0,96.0,77.0,78.25,313.0,C
153,1154.0,Ziad,AI,22.0,F,93.0,63.0,100.0,56.0,93.0,78.0,312.0,C
35,1036.0,Mona,CS,20.0,F,88.0,98.0,69.0,57.0,60.0,78.0,312.0,C
34,1035.0,Omar,CS,22.0,F,84.0,92.0,85.0,50.0,72.0,77.75,311.0,C
80,1081.0,Mona,CS,19.0,F,79.0,73.0,74.0,84.0,80.0,77.5,310.0,C
55,1056.0,Laila,AI,18.0,M,89.0,56.0,67.0,98.0,77.0,77.5,310.0,C
46,1047.0,Nour,CS,19.0,M,85.0,78.0,50.0,96.0,80.0,77.25,309.0,C
102,1103.0,Aya,DS,18.0,M,87.0,100.0,57.0,64.0,77.0,77.0,308.0,C
167,1168.0,Nour,DS,21.0,F,63.0,97.0,59.0,89.0,84.0,77.0,308.0,C
65,1066.0,Ali,AI,20.0,M,78.0,77.0,97.0,56.0,85.0,77.0,308.0,C
110,1111.0,Salma,IS,21.0,M,83.0,78.0,82.0,65.0,75.0,77.0,308.0,C
57,1058.0,Eman,IS,18.0,F,89.0,72.0,71.0,75.0,97.0,76.75,307.0,C
10,1011.0,Omar,IS,22.0,F,89.0,73.0,63.0,82.0,73.0,76.75,307.0,C
63,1064.0,Nour,CS,20.0,F,99.0,80.0,54.0,73.0,75.0,76.5,306.0,C
157,1158.0,Sara,IS,20.0,F,62.0,91.0,92.0,60.0,86.0,76.25,305.0,C
137,1138.0,Youssef,IS,22.0,M,88.0,58.0,81.0,78.0,81.0,76.25,305.0,C
24,1024.0,Hassan,DS,22.0,M,88.0,81.0,71.0,63.0,68.0,75.75,303.0,C
16,1017.0,Youssef,CS,18.0,M,64.0,76.0,66.0,96.0,94.0,75.5,302.0,C
192,1193.0,Laila,AI,19.0,M,64.0,87.0,96.0,55.0,68.0,75.5,302.0,C
155,1156.0,Nour,IS,19.0,M,60.0,97.0,65.0,80.0,84.0,75.5,302.0,C
14,1015.0,Omar,DS,22.0,M,57.0,83.0,74.0,87.0,78.0,75.25,301.0,C
39,1040.0,Sara,AI,20.0,M,88.0,87.0,57.0,68.0,98.0,75.0,300.0,C
37,1038.0,Karim,CS,19.0,M,66.0,93.0,80.0,61.0,98.0,75.0,300.0,C
177,1178.0,Mariam,DS,22.0,M,76.0,75.0,87.0,62.0,91.0,75.0,300.0,C
66,1067.0,Hassan,CS,21.0,M,62.0,88.0,74.0,76.0,62.0,75.0,300.0,C
139,1140.0,Salma,IS,19.0,F,96.0,65.0,59.0,79.0,70.0,74.75,299.0,C
59,1060.0,Sara,IS,21.0,F,78.0,62.0,84.0,75.0,87.0,74.75,299.0,C
89,1090.0,Mahmoud,CS,18.0,M,75.0,56.0,87.0,81.0,80.0,74.75,299.0,C
88,1089.0,Mona,IS,19.0,F,57.0,78.0,93.0,71.0,60.0,74.75,299.0,C
123,1124.0,Nada,AI,18.0,F,94.0,63.0,77.0,64.0,99.0,74.5,298.0,C
189,1190.0,Mahmoud,DS,18.0,M,59.0,66.0,92.0,79.0,61.0,74.0,296.0,C
141,1142.0,Ziad,IS,19.0,M,88.0,64.0,54.0,89.0,98.0,73.75,295.0,C
154,1155.0,Nour,DS,19.0,M,87.0,60.0,52.0,96.0,86.0,73.75,295.0,C
128,1129.0,Karim,IS,21.0,M,93.0,53.0,77.0,72.0,90.0,73.75,295.0,C
176,1177.0,Ali,CS,20.0,M,96.0,74.0,59.0,64.0,94.0,73.25,293.0,C
183,1184.0,Mona,DS,20.0,M,64.0,79.0,84.0,66.0,68.0,73.25,293.0,C
30,1031.0,Ziad,CS,22.0,M,63.0,96.0,59.0,74.0,62.0,73.0,292.0,C
94,1095.0,Nada,DS,20.0,F,62.0,76.0,73.0,81.0,94.0,73.0,292.0,C
130,1131.0,Nour,IS,18.0,M,63.0,75.0,69.0,84.0,73.0,72.75,291.0,C
95,1096.0,Karim,AI,22.0,M,86.0,72.0,67.0,66.0,67.0,72.75,291.0,C
160,1161.0,Mona,IS,22.0,F,78.0,58.0,75.0,78.0,90.0,72.25,289.0,C
140,1141.0,Mona,CS,21.0,F,79.0,74.0,79.0,56.0,74.0,72.0,288.0,C
131,1132.0,Mahmoud,AI,19.0,F,88.0,58.0,80.0,62.0,98.0,72.0,288.0,C
11,1012.0,Nada,IS,21.0,F,65.0,57.0,87.0,79.0,76.0,72.0,288.0,C
144,1145.0,Youssef,DS,20.0,M,85.0,98.0,51.0,53.0,70.0,71.75,287.0,C
133,1134.0,Nada,CS,20.0,F,64.0,55.0,100.0,68.0,79.0,71.75,287.0,C
5,1006.0,Nour,IS,21.0,M,69.0,76.0,60.0,81.0,75.0,71.5,286.0,C
163,1164.0,Omar,IS,20.0,F,68.0,99.0,69.0,50.0,62.0,71.5,286.0,C
105,1106.0,Youssef,CS,19.0,F,60.0,50.0,100.0,75.0,96.0,71.25,285.0,C
148,1149.0,Omar,DS,19.0,F,59.0,81.0,50.0,95.0,63.0,71.25,285.0,C
13,1014.0,Hassan,CS,18.0,F,80.0,64.0,63.0,77.0,79.0,71.0,284.0,C
71,1072.0,Hassan,DS,20.0,M,67.0,99.0,54.0,64.0,73.0,71.0,284.0,C
6,1007.0,Mahmoud,DS,21.0,F,89.0,58.0,82.0,54.0,99.0,70.75,283.0,C
56,1057.0,Salma,DS,18.0,M,72.0,54.0,82.0,75.0,66.0,70.75,283.0,C
180,1181.0,Karim,CS,18.0,F,79.0,59.0,85.0,59.0,99.0,70.5,282.0,C
108,1109.0,Salma,CS,20.0,F,56.0,83.0,74.0,69.0,83.0,70.5,282.0,C
77,1078.0,Aya,CS,18.0,M,74.0,63.0,73.0,71.0,86.0,70.25,281.0,C
69,1070.0,Ziad,AI,22.0,M,54.0,78.0,72.0,75.0,76.0,69.75,279.0,D
87,1088.0,Hassan,IS,22.0,F,53.0,75.0,91.0,59.0,98.0,69.5,278.0,D
173,1174.0,Mahmoud,DS,18.0,F,54.0,83.0,52.0,88.0,92.0,69.25,277.0,D
119,1120.0,Eman,IS,20.0,M,87.0,58.0,57.0,74.0,68.0,69.0,276.0,D
193,1194.0,Mariam,IS,18.0,M,98.0,51.0,70.0,57.0,75.0,69.0,276.0,D
150,1151.0,Salma,AI,22.0,F,61.0,91.0,59.0,63.0,65.0,68.5,274.0,D
45,1046.0,Laila,IS,22.0,M,97.0,67.0,56.0,54.0,79.0,68.5,274.0,D
36,1037.0,Ali,AI,18.0,F,100.0,51.0,67.0,55.0,76.0,68.25,273.0,D
98,1099.0,Karim,AI,21.0,M,62.0,68.0,92.0,51.0,67.0,68.25,273.0,D
182,1183.0,Eman,IS,22.0,F,62.0,92.0,68.0,51.0,87.0,68.25,273.0,D
146,1147.0,Mona,CS,22.0,F,71.0,84.0,53.0,64.0,88.0,68.0,272.0,D
32,1033.0,Aya,AI,19.0,F,57.0,80.0,52.0,83.0,60.0,68.0,272.0,D
170,1171.0,Nour,DS,19.0,M,67.0,98.0,55.0,51.0,64.0,67.75,271.0,D
125,1126.0,Nada,DS,21.0,F,79.0,72.0,68.0,50.0,72.0,67.25,269.0,D
91,1092.0,Khaled,AI,21.0,F,75.0,74.0,67.0,53.0,77.0,67.25,269.0,D
31,1032.0,Mahmoud,AI,22.0,M,58.0,73.0,50.0,88.0,100.0,67.25,269.0,D
81,1082.0,Nour,AI,19.0,F,74.0,62.0,51.0,82.0,65.0,67.25,269.0,D
152,1153.0,Hassan,DS,19.0,M,60.0,66.0,64.0,77.0,87.0,66.75,267.0,D
114,1115.0,Hassan,IS,20.0,F,62.0,65.0,79.0,61.0,93.0,66.75,267.0,D
143,1144.0,Nada,AI,19.0,M,54.0,71.0,88.0,52.0,87.0,66.25,265.0,D
136,1137.0,Mona,DS,20.0,F,92.0,60.0,58.0,54.0,97.0,66.0,264.0,D
38,1039.0,Ziad,AI,20.0,F,65.0,64.0,71.0,61.0,81.0,65.25,261.0,D
90,1091.0,Omar,DS,18.0,F,71.0,58.0,72.0,56.0,100.0,64.25,257.0,D
44,1045.0,Mahmoud,DS,19.0,F,88.0,51.0,57.0,58.0,74.0,63.5,254.0,D
107,1108.0,Mona,AI,20.0,M,62.0,66.0,66.0,60.0,92.0,63.5,254.0,D
197,1198.0,Salma,AI,22.0,M,61.0,80.0,55.0,57.0,82.0,63.25,253.0,D
121,1122.0,Mona,DS,18.0,M,56.0,63.0,77.0,52.0,77.0,62.0,248.0,D
58,1059.0,Omar,AI,20.0,F,58.0,58.0,79.0,52.0,90.0,61.75,247.0,D
184,1185.0,Ziad,IS,22.0,F,52.0,77.0,52.0,66.0,77.0,61.75,247.0,D
159,1160.0,Khaled,DS,22.0,M,54.0,55.0,54.0,84.0,73.0,61.75,247.0,D
161,1162.0,Youssef,AI,18.0,M,69.0,55.0,64.0,58.0,82.0,61.5,246.0,D
7,1008.0,Sara,IS,20.0,F,75.0,54.0,61.0,50.0,72.0,60.0,240.0,D
20,1021.0,Laila,CS,21.0,F,56.0,63.0,58.0,63.0,98.0,60.0,240.0,D
196,1197.0,Laila,DS,19.0,F,67.0,65.0,51.0,54.0,100.0,59.25,237.0,F
190,1191.0,Salma,IS,19.0,F,56.0,55.0,54.0,64.0,82.0,57.25,229.0,F
9,1010.0,Ali,CS,18.0,M,51.0,52.0,53.0,54.0,64.0,52.5,210.0,F
Average_row,1102.486111111111,,,19.930555555555557,,77.46527777777777,76.04861111111111,74.57638888888889,73.92361111111111,79.75,75.50347222222223,302.0138888888889,
